"X" "pokedex_number" "name" "german_name" "japanese_name" "generation" "status" "species" "type_number" "type_1" "height_m" "weight_kg" "abilities_number" "ability_1" "total_points" "hp" "attack" "defense" "sp_attack" "sp_defense" "speed" "catch_rate" "growth_rate" "egg_type_number" "egg_type_1" "egg_cycles" "against_normal" "against_fire" "against_water" "against_electric" "against_grass" "against_ice" "against_fight" "against_poison" "against_ground" "against_flying" "against_psychic" "against_bug" "against_rock" "against_ghost" "against_dragon" "against_dark" "against_steel" "against_fairy" "nb" "nb1"
"1" 0 1 "Bulbasaur" "Bisasam" "<U+30D5><U+30B7><U+30AE><U+30C0><U+30CD> (Fushigidane)" 1 "Normal" "Seed Pokémon" 2 "Grass" 0.7 6.9 2 "Overgrow" 318 45 49 49 65 65 45 45 "Medium Slow" 2 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 1 0
"2" 1 2 "Ivysaur" "Bisaknosp" "<U+30D5><U+30B7><U+30AE><U+30BD><U+30A6> (Fushigisou)" 1 "Normal" "Seed Pokémon" 2 "Grass" 1 13 2 "Overgrow" 405 60 62 63 80 80 60 45 "Medium Slow" 2 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 1 0
"3" 2 3 "Venusaur" "Bisaflor" "<U+30D5><U+30B7><U+30AE><U+30D0><U+30CA> (Fushigibana)" 1 "Normal" "Seed Pokémon" 2 "Grass" 2 100 2 "Overgrow" 525 80 82 83 100 100 80 45 "Medium Slow" 2 "Grass" 20 1 2 0.5 0.5 0.25 2 0.5 1 1 2 2 1 1 1 1 1 1 0.5 1 0
"4" 4 4 "Charmander" "Glumanda" "<U+30D2><U+30C8><U+30AB><U+30B2> (Hitokage)" 1 "Normal" "Lizard Pokémon" 1 "Fire" 0.6 8.5 2 "Blaze" 309 39 52 43 60 50 65 45 "Medium Slow" 2 "Dragon" 20 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 2 0
"5" 5 5 "Charmeleon" "Glutexo" "<U+30EA><U+30B6><U+30FC><U+30C9> (Lizardo)" 1 "Normal" "Flame Pokémon" 1 "Fire" 1.1 19 2 "Blaze" 405 58 64 58 80 65 80 45 "Medium Slow" 2 "Dragon" 20 1 0.5 2 1 0.5 0.5 1 1 2 1 1 0.5 2 1 1 1 0.5 0.5 2 0
"6" 6 6 "Charizard" "Glurak" "<U+30EA><U+30B6><U+30FC><U+30C9><U+30F3> (Lizardon)" 1 "Normal" "Flame Pokémon" 2 "Fire" 1.7 90.5 2 "Blaze" 534 78 84 78 109 85 100 45 "Medium Slow" 2 "Dragon" 20 1 0.5 2 2 0.25 1 0.5 1 0 1 1 0.25 4 1 1 1 0.5 0.5 1 0
"7" 9 7 "Squirtle" "Schiggy" "<U+30BC><U+30CB><U+30AC><U+30E1> (Zenigame)" 1 "Normal" "Tiny Turtle Pokémon" 1 "Water" 0.5 9 2 "Torrent" 314 44 48 65 50 64 43 45 "Medium Slow" 2 "Monster" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 2 0
"8" 10 8 "Wartortle" "Schillok" "<U+30AB><U+30E1><U+30FC><U+30EB> (Kameil)" 1 "Normal" "Turtle Pokémon" 1 "Water" 1 22.5 2 "Torrent" 405 59 63 80 65 80 58 45 "Medium Slow" 2 "Monster" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 2 0
"9" 11 9 "Blastoise" "Turtok" "<U+30AB><U+30E1><U+30C3><U+30AF><U+30B9> (Kamex)" 1 "Normal" "Shellfish Pokémon" 1 "Water" 1.6 85.5 2 "Torrent" 530 79 83 100 85 105 78 45 "Medium Slow" 2 "Monster" 20 1 0.5 0.5 2 2 0.5 1 1 1 1 1 1 1 1 1 1 0.5 1 2 0
"10" 13 10 "Caterpie" "Raupy" "<U+30AD><U+30E3><U+30BF><U+30D4><U+30FC> (Caterpie)" 1 "Normal" "Worm Pokémon" 1 "Bug" 0.3 2.9 2 "Shield Dust" 195 45 30 35 20 20 45 255 "Medium Fast" 1 "Bug" 15 1 2 1 1 0.5 1 0.5 1 0.5 2 1 1 2 1 1 1 1 1 3 0
